task_name,planned_end,actual_end,percent_complete,milestone,owner
Value KPI Report creation on Staging,2026-07-24,,0,N,"UniSan Project Group, Zycus Product Specialist, Zycus Project Manager"
Value KPI Report demo on Staging,2026-07-28,,0,N,"UniSan Project Group, Zycus Product Specialist, Zycus Project Manager"
iSource Configuration,2026-08-06,,0,Y,
iSource Deployment,2026-08-06,,0,N,
Functional Configuration Finalization on STAGING set Up,2026-08-06,,0,N,
User Roles configuration,2026-07-22,,0,N,Zycus Product Specialist
Admin settings configuration,2026-07-24,,0,N,Zycus Product Specialist
Readiness for Pre-UAT,2026-07-28,,0,N,Zycus Product Specialist
Pre-UAT on STAGING,2026-08-06,,0,N,
Pre-UAT - Provide End to end walkthrough of configured iSource to the Customer,2026-07-30,,0,N,"Zycus Consultant, Zycus Product Specialist"
Provide feedback - if any for iSource configuration,2026-08-04,,0,N,UniSan Project Manager
Zycus to incorporate feedback - as applicable and share final version of Implementation Approach Document [IAD],2026-08-06,,0,N,"Zycus Consultant, Zycus Product Specialist"
Sign off on Pre-UAT and final version of IAD,2026-08-06,,0,N,UniSan Project Manager
iSource : Conclude Functional Configuration,2026-08-06,,0,N,
Merlin Intake Configuration,2026-08-05,,0,Y,
Merlin intake Deployment,2026-08-05,,0,N,
Functional Configuration Finalization on STAGING set Up,2026-08-05,,0,N,
User Roles configuration,2026-07-22,,0,N,Zycus Product Specialist
Admin settings configuration,2026-07-24,,0,N,Zycus Product Specialist
Readiness for Pre-UAT,2026-07-28,,0,N,Zycus Product Specialist
Pre-UAT on STAGING,2026-08-05,,0,N,
Pre-UAT - Provide End to end walkthrough of configured Merlin Intake to the Customer,2026-07-30,,0,N,"Zycus Consultant, Zycus Product Specialist"
Provide feedback - if any for Merlin Intake configuration,2026-08-03,,0,N,UniSan Project Manager
Zycus to incorporate feedback - as applicable and share final version of Implementation Approach Document [IAD],2026-08-05,,0,N,"Zycus Consultant, Zycus Product Specialist"
Sign off on Pre-UAT and final version of IAD,2026-08-05,,0,N,UniSan Project Manager
Merlin Intake : Conclude Functional Configuration,2026-08-05,,0,N,
User Acceptance Testing (UAT) Phase II,2026-08-24,,0,Y,
Prepare for UAT,2026-08-12,,0,N,
Prepare the UAT Approach,2026-08-07,,0,N,"Zycus Product Specialist, Zycus Project Manager"
Finalize and agree on UAT Approach,2026-08-10,,0,N,"UniSan Core Project Team, UniSan Project Manager"
Provide users & roles on STAGING required for UAT,2026-08-10,,0,N,"UniSan Project Manager, UniSan Project Team, UniSan SME"
Create users on STAGING set for UAT group,2026-08-11,,0,N,Zycus Product Specialist
Provide Standard Test Cases,2026-08-11,,0,N,"Zycus Consultant, Zycus Product Specialist"
Finalize Test Cases,2026-08-12,,0,N,UniSan Core Project Team
Quality Reviews,2026-08-10,,0,N,
Schedule for quality check,2026-08-07,,0,N,Zycus Product Specialist
"Perform quality checks, PSRs as per quality checklist and submit to QC team",2026-08-10,,0,N,Zycus Product Specialist
Quality Check by Zycus QC team,2026-08-10,,0,N,Zycus Quality Team
End-to-End UAT,2026-08-24,,0,N,
UAT Intake and iSource,2026-08-17,,0,N,UniSan Core Project Team
Defect Analysis & UAT Feedback incorporation and share Test Closure Memo,2026-08-18,,0,N,Zycus Project Team
UniSan to provide sign off on Test Closure Memo,2026-08-20,,0,N,"UniSan Core Project Team, UniSan Project Manager"
"UAT iSupplier, eProc, eInvoice and CLM",2026-08-19,,0,N,UniSan Core Project Team
Defect Analysis & UAT Feedback incorporation and share Test Closure Memo,2026-08-20,,0,N,Zycus Project Team
UniSan to provide sign off on Test Closure Memo,2026-08-24,,0,N,"UniSan Core Project Team, UniSan Project Manager"
UAT Completion,2026-08-24,,0,Y,
